Year,Players,Runs,Venue,Against,Opponents
2014,B Kumar-M M Sharma-Mohammed Shami-R A Jadeja-A Mishra-S K Raina-A M Rahane-S Dhawan-V Kohli-A T Rayudu-M S Dhoni,-124,Home,WI,D R Smith-D J J Bravo-D M Bravo-M N Samuels-D Ramdin-K A Pollard-A D Russell-D J G Sammy-S J Benn-R Rampaul-J E Taylor
2013,B Kumar-R Vinay Kumar-I Sharma-R Ashwin-R A Jadeja-V Kohli-Yuvraj Singh-S Dhawan-R G Sharma-S K Raina-M S Dhoni,-72,Home,AUS,P J Hughes-A J Finch-S R Watson-G J Bailey-A C Voges-G J Maxwell-B J Haddin-J P Faulkner-M G Johnson-C J McKay-X J Doherty
2008,G Gambhir-V Sehwag-S K Raina-Yuvraj Singh-Y K Pathan-M S Dhoni-R G Sharma-Harbhajan Singh-Zaheer Khan-R P Singh-M M Patel,158,Home,ENG,J M Anderson-S C J Broad-A Flintoff-S J Harmison-S R Patel-P D Collingwood-K P Pietersen-I R Bell-M J Prior-O A Shah-R S Bopara
2011,G Gambhir-A M Rahane-P A Patel-M K Tiwary-V Kohli-R G Sharma-S K Raina-I K Pathan-R A Jadeja-R Sharma-A Mithun,34,Home,WI,K A J Roach-A D Russell-S P Narine-D J G Sammy-A Martin-M N Samuels-K A Pollard-L M P Simmons-K O A Powell-J N Mohammed-D Ramdin
2007,Zaheer Khan-S Sreesanth-I K Pathan-Harbhajan Singh-Yuvraj Singh-S R Tendulkar-G Gambhir-R V Uthappa-R Dravid-M S Dhoni-R G Sharma,-47,Home,AUS,A C Gilchrist-M L Hayden-R T Ponting-M J Clarke-A Symonds-B J Hodge-J R Hopes-B Lee-G B Hogg-S R Clark-M G Johnson
2015,R G Sharma-S Dhawan-V Kohli-A M Rahane-S K Raina-M S Dhoni-Harbhajan Singh-A R Patel-B Kumar-M M Sharma-A Mishra,35,Home,SA,D W Steyn-K Rabada-C H Morris-A M Phangiso-Imran Tahir-F Behardien-Q de Kock-H M Amla-F du Plessis-A B de Villiers-D A Miller
2012,G Gambhir-A M Rahane-V Kohli-Yuvraj Singh-S K Raina-M S Dhoni-R Ashwin-R A Jadeja-B Kumar-I Sharma-Mohammed Shami,10,Home,PAK,Mohammad Irfan-Junaid Khan-Umar Gul-Mohammad Hafeez-Saeed Ajmal-Nasir Jamshed-Kamran Akmal-Younis Khan-Misbah-ul-Haq-Umar Akmal-Shoaib Malik
2008,Zaheer Khan-M M Patel-I Sharma-Yuvraj Singh-Harbhajan Singh-Y K Pathan-V Sehwag-G Gambhir-S K Raina-R G Sharma-M S Dhoni,16,Home,ENG,R S Bopara-I R Bell-K P Pietersen-P D Collingwood-A Flintoff-O A Shah-S R Patel-M J Prior-G P Swann-S C J Broad-J M Anderson
2007,Zaheer Khan-S Sreesanth-I K Pathan-Harbhajan Singh-R R Powar-S R Tendulkar-Yuvraj Singh-G Gambhir-R V Uthappa-R Dravid-M S Dhoni,-84,Home,AUS,A C Gilchrist-M L Hayden-B J Hodge-M J Clarke-A Symonds-B J Haddin-J R Hopes-B Lee-G B Hogg-S R Clark-M G Johnson
2010,M Vijay-G Gambhir-V Kohli-Yuvraj Singh-S K Raina-Y K Pathan-W P Saha-R Ashwin-A Nehra-S Sreesanth-M M Patel,40,Home,NZ,K D Mills-D R Tuffey-A J McKay-G D Elliott-N L McCullum-S B Styris-K S Williamson-J M How-M J Guptill-L  R Taylor-G J Hopkins
