Name,Rating,LogRating
K M D Kulasekara,706,2.8488
K D Mills,696,2.8426
D L Vettori,693,2.8407
M Muralitharan,677,2.8306
N W Bracken,676,2.8299
Shakib Al Hasan,672,2.8274
M G Johnson,670,2.8261
S C J Broad,658,2.8182
J Botha,655,2.8162
Mashrafe Mortaza,653,2.8149
Shahid Afridi,650,2.8129
S E Bond,649,2.8122
J R Hopes,642,2.8075
Zaheer Khan,636,2.8035
B A W Mendis,630,2.7993
J D P Oram,626,2.7966
J E Taylor,620,2.7924
Umar Gul,611,2.786
P Utseya,606,2.7825
D W Steyn,604,2.781
Iftikhar Anjum,596,2.7752
B Lee,594,2.7738
Harbhajan Singh,592,2.7723
R W Price,589,2.7701
Sohail Tanvir,575,2.7597
P Kumar,572,2.7574
J M Anderson,571,2.7566
D J J Bravo,563,2.7505
P J Ongondo,562,2.7497
M F Maharoof,552,2.7419
Syed Rasel,537,2.73
C K Langeveldt,537,2.73
Mohammad Asif,536,2.7292
T Mupariwa,530,2.7243
S L Malinga,526,2.721
M M Patel,518,2.7143
I Sharma,513,2.7101
Abdur Razzak,512,2.7093
W K McCallan,504,2.7024
C R D Fernando,501,2.6998
E C Rainsford,501,2.6998
S W Tait,500,2.699
M T Thushara,499,2.6981
T M Odoyo,493,2.6928
P D Collingwood,487,2.6875
A C Botha,486,2.6866
M Morkel,485,2.6857
J S Patel,484,2.6848
Shoaib Malik,479,2.6803
Naved ul Hasan,478,2.6794
S R Watson,475,2.6767
Shoaib Akhtar,471,2.673
R J Sidebottom,468,2.6702
H A Varaiya,466,2.6684
U Bhatti,466,2.6684
J H Kallis,465,2.6675
N M Hauritz,459,2.6618
J A Morkel,458,2.6609
S Dhaniram,457,2.6599
R N ten Doeschate,456,2.659
I K Pathan,444,2.6474
M J Mason,444,2.6474
R P Singh,444,2.6474
S Sreesanth,443,2.6464
J E C Franklin,440,2.6435
Mohammad Sami,436,2.6395
S T Jayasuriya,436,2.6395
R Rampaul,435,2.6385
Yuvraj Singh,431,2.6345
S O Tikolo,428,2.6314
M J Clarke,428,2.6314
T G Southee,423,2.6263
D T Johnston,422,2.6253
P P Chawla,421,2.6243
G P Swann,419,2.6222
C B Mpofu,417,2.6201
S B Styris,413,2.616
Saeed Ajmal,410,2.6128
E Chigumbura,407,2.6096
L E Plunkett,403,2.6053
P P Ojha,402,2.6042
D R Smith,400,2.6021
J K Kamande,396,2.5977
J M Davison,393,2.5944
H Osinde,392,2.5933
D J G Sammy,392,2.5933
R E van der Merwe,391,2.5922
C H Gayle,387,2.5877
A D Mascarenhas,386,2.5866
C M Bandara,375,2.574
Abdul Razzaq,375,2.574
R M Haq,375,2.574
D R Tuffey,373,2.5717
B W Hilfenhaus,371,2.5694
Mohammad Hafeez,365,2.5623
M N Samuels,360,2.5563
S I Mahmood,359,2.5551
V Sehwag,357,2.5527
W B Rankin,353,2.5478
T M Dilshan,343,2.5353
