Name,Rating,LogRating
Younis Khan,880,2.9445
Mohammad Yousuf,862,2.9355
K C Sangakkara,854,2.9315
G Gambhir,847,2.9279
S Chanderpaul,838,2.9232
D P M Jayawardene,821,2.9143
R T Ponting,785,2.8949
G C Smith,782,2.8932
M J Clarke,776,2.8899
K P Pietersen,768,2.8854
J H Kallis,755,2.8779
A G Prince,742,2.8704
A B de Villiers,740,2.8692
S R Tendulkar,720,2.8573
R R Sarwan,718,2.8561
V V S Laxman,703,2.847
M E K Hussey,696,2.8426
S M Katich,692,2.8401
A J Strauss,689,2.8382
T T Samaraweera,687,2.837
V Sehwag,685,2.8357
A N Cook,683,2.8344
C H Gayle,658,2.8182
P D Collingwood,657,2.8176
T M Dilshan,644,2.8089
H M Amla,644,2.8089
R Dravid,637,2.8041
L R Taylor,625,2.7959
Kamran Akmal,614,2.7882
Misbah ul Haq,610,2.7853
M S Dhoni,573,2.7582
D L Vettori,565,2.752
I R Bell,562,2.7497
P J Hughes,557,2.7459
B J Haddin,550,2.7404
J D Ryder,550,2.7404
B B McCullum,541,2.7332
M J Prior,530,2.7243
D J J Bravo,521,2.7168
T Taibu,516,2.7126
J D P Oram,497,2.6964
Imran Farhat,493,2.6928
Shoaib Malik,479,2.6803
M V Boucher,465,2.6675
M G Johnson,465,2.6675
Shahid Afridi,457,2.6599
Yuvraj Singh,454,2.6571
B B B B B S M Warnapura,453,2.6561
Salman Butt,452,2.6551
A Flintoff,451,2.6542
Shahriar Nafees,451,2.6542
J P Duminy,446,2.6493
R S Bopara,444,2.6474
Shakib Al Hasan,443,2.6464
B P Nash,440,2.6435
Mohammad Ashraful,436,2.6395
Mushfiqur Rahim,422,2.6253
D Ramdin,416,2.6191
Yasir Hameed,416,2.6191
Taufeeq Umar,414,2.617
H Masakadza,413,2.616
W P U Vaas,411,2.6138
D R Flynn,399,2.601
M J North,397,2.5988
M N Samuels,388,2.5888
D S Smith,385,2.5855
S C J Broad,376,2.5752
Junaid Siddique,373,2.5717
Faisal Iqbal,364,2.5611
C K Kapugedera,360,2.5563
J A Rudolph,346,2.5391
 Mohammad Hafeez,344,2.5366
M S Sinclair,343,2.5353
W U Tharanga,343,2.5353
Tamim Iqbal,340,2.5315
H A P W Jayawardena,330,2.5185
K K K K K K D Karthik,329,2.5172
 Aftab Ahmed,315,2.4983
B R M Taylor,306,2.4857
M A Vermeulen,300,2.4771
Khurram Manzoor,298,2.4742
J E C Franklin,293,2.4669
Harbhajan Singh,290,2.4624
A J Redmond,274,2.4378
J E Taylor,264,2.4216
T G McIntosh,255,2.4065
M J Vijay,252,2.4014
Mashrafe Mortaza,251,2.3997
M J Guptill,246,2.3909
M F Maharoof,227,2.356
T Panyangara,226,2.3541
R O Hinds,224,2.3502
Zaheer Khan,221,2.3444
S R Watson,210,2.3222
D J G Sammy,208,2.3181
P Utseya,206,2.3139
P G Fulton,202,2.3054
E Chigumbura,183,2.2625
R J Sidebottom,183,2.2625
Abdur Razzak,171,2.233
