Name,Rating,LogRating
H M Amla,861,2.9350
A B de Villiers,803,2.9047
S R Watson,755,2.8779
K C Sangakkara,749,2.8745
M E K Hussey,745,2.8722
T M Dilshan,739,2.8686
V Kohli,734,2.8657
I J L Trott,726,2.8609
M S Dhoni,711,2.8519
M J Clarke,703,2.8470
S R Tendulkar,694,2.8414
J H Kallis,684,2.8351
V Sehwag,684,2.8351
G Gambhir,684,2.8351
R T Ponting,669,2.8254
Umar Akmal,654,2.8156
L R Taylor,654,2.8156
Yuvraj Singh,649,2.8122
G C Smith,648,2.8116
E J G Morgan,646,2.8102
J P Duminy,643,2.8082
D P M Jayawardene,641,2.8069
C H Gayle,636,2.8035
P R Stirling,629,2.7987
Shakib Al Hasan,616,2.7896
Tamim Iqbal,608,2.7839
Misbah ul Haq,600,2.7782
M J Guptill,595,2.7745
R R Sarwan,591,2.7716
B B McCullum,591,2.7716
C L White,578,2.7619
S K Raina,578,2.7619
B R M Taylor,577,2.7612
J D Ryder,567,2.7536
B J Haddin,564,2.7513
Imrul Kayes,560,2.7482
W U Tharanga,558,2.7466
Shahid Afridi,551,2.7412
K P Pietersen,550,2.7404
A D Mathews,550,2.7404
K J O'Brien,549,2.7396
A Bagai,544,2.7356
Mohammad Hafeez,541,2.7332
R G Sharma,538,2.7308
Younis Khan,537,2.7300
T L W Cooper,536,2.7292
I R Bell,533,2.7267
Kamran Akmal,528,2.7226
L M P Simmons,523,2.7185
Shoaib Malik,520,2.7160
Y K Pathan,520,2.7160
S E Marsh,517,2.7135
T Taibu,511,2.7084
A A Obanda,508,2.7059
C O Obuya,505,2.7033
K A Pollard,491,2.6911
W T S Porterfield,490,2.6902
Mushfiqur Rahim,488,2.6884
D M Bravo,483,2.6839
Junaid Siddique,477,2.6785
M V Boucher,477,2.6785
E Chigumbura,476,2.6776
H Masakadza,475,2.6767
R S Bopara,475,2.6767
Mahmudullah,474,2.6758
J D P Oram,473,2.6749
Abdul Razzaq,470,2.6721
N J O'Brien,468,2.6702
Asad Shafiq,465,2.6675
S C Williams,457,2.6599
D J Hussey,456,2.6590
G C Wilson,451,2.6542
D J J Bravo,449,2.6522
L P C Silva,449,2.6522
S H T Kandamby,449,2.6522
Mohammad Shahzad,444,2.6474
C R Ervine,443,2.6464
Shahriar Nafees,443,2.6464
L J Wright,443,2.6464
T Mishra,438,2.6415
D L Vettori,437,2.6405
G D Elliott,434,2.6375
D S Smith,431,2.6345
S Matsikenyeri,425,2.6284
S O Tikolo,424,2.6274
A N Cook,423,2.6263
Fawad Alam,419,2.6222
P A Patel,417,2.6201
K K K K K K D Karthik,416,2.6191
Mohammad Ashraful,416,2.6191
C A Ingram,412,2.6149
C K Coventry,411,2.6138
Rizwan Cheema,409,2.6117
D J G Sammy,407,2.6096
T M Odoyo,407,2.6096
M N Samuels,407,2.6096
J F Mooney,405,2.6075
Ahmed Shehzad,402,2.6042
C K Kapugedera,402,2.6042
E S Szwarczynski,399,2.6010
