Name,Rating
K P Pietersen,835
E J G Morgan,805
G C Smith,757
D P M Jayawardene,747
K C Sangakkara,732
D A Warner,731
B B McCullum,728
C H Gayle,715
Umar Akmal,693
S K Raina,691
D J Hussey,676
Yuvraj Singh,673
T M Dilshan,669
J P Duminy,653
J H Kallis,646
G Gambhir,635
C L White,578
H Masakadza,560
S R Watson,554
A B de Villiers,535
L R Taylor,526
S T Jayasuriya,522
Kamran Akmal,520
Shahid Afridi,516
Misbah ul Haq,485
M J Guptill,484
R G Sharma,477
M E K Hussey,476
Shoaib Malik,428
C Kieswetter,417
L M P Simmons,413
M S Dhoni,413
J A Morkel,408
B R M Taylor,387
C J Chibhabha,386
Rizwan Cheema,383
A J Finch,374
K J Coetzer,366
V Sehwag,354
D J J Bravo,353
Mohammad Ashraful,350
A D Mathews,349
J D Ryder,349
Abdul Razzaq,342
D M Bravo,340
S O Tikolo,337
Noor Ali Zadran,322
B J Haddin,321
I R Bell,320
Mohammad Hafeez,313
L J Wright,312
C A Ingram,311
J D P Oram,309
A Bagai,302
E S Szwarczynski,295
W T S Porterfield,292
D O Obuya,290
Imran Nazir,287
M N van Wyk,285
A N Kervezee,282
C K Kapugedera,273
N J O'Brien,273
Y K Pathan,272
T Taibu,257
Shakib Al Hasan,257
D A Miller,256
Ahmed Shehzad,256
E Chigumbura,256
M J Lumb,256
Junaid Siddique,251
T N de Grooth,228
C D Barnwell,226
Mohammad Shahzad,223
R S Bopara,219
Tamim Iqbal,208
M N Samuels,198
K A Pollard,196
Naeem Islam,195
J E C Franklin,195
R V Uthappa,190
D Ramdin,183
C O Obuya,180
N L McCullum,180
P W Borren,178
H Patel,175
S P D Smith,174
Karim Sadiq,174
M J Vijay,172
A R White,171
A R Cusack,171
J Botha,163
G C Wilson,159
V Kohli,157
Mashrafe Mortaza,151
D L Vettori,151
A A Obanda,149
N L T Perera,145
J F Mooney,145
D J G Sammy,144
K J O'Brien,143
