Name,Rating,LogRating
D W Steyn,898,2.9533
R J Harris,870,2.9395
V D Philander,865,2.9370
M G Johnson,844,2.9263
Saeed Ajmal,787,2.8960
T G Southee,783,2.8938
R Ashwin,744,2.8716
H M R Herath,739,2.8686
T A Boult,737,2.8675
K A J Roach,733,2.8651
P M Siddle,733,2.8651
J M Anderson,731,2.8639
S C J Broad,719,2.8567
Abdur Rehman,705,2.8482
M Morkel,637,2.8041
Junaid Khan,623,2.7945
Shakib Al Hasan,613,2.7875
N M Lyon,607,2.7832
S Shillingford,561,2.7490
N Wagner,549,2.7396
I Sharma,548,2.7388
R M S Eranga,541,2.7332
S T Finn,541,2.7332
R A Jadeja,507,2.7050
J L Pattinson,506,2.7042
Harbhajan Singh,484,2.6848
D L Vettori,476,2.6776
S J Benn,461,2.6637
B A W Mendis,427,2.6304
Mohammad Shami,422,2.6253
S R Watson,420,2.6232
U W M Welegedara,419,2.6222
M A Starc,399,2.6010
D A J Bracewell,364,2.5611
K J Abbott,354,2.5490
U T Yadav,333,2.5224
J E Taylor,332,2.5211
T L Chatara,321,2.5065
R A S Lakmal,315,2.4983
B A Stokes,305,2.4843
D Bishoo,304,2.4829
T Panyangara,303,2.4814
Mohammad Hafeez,298,2.4742
Imran Tahir,295,2.4698
Shahadat Hossain,292,2.4654
L E Plunkett,286,2.4564
J P Duminy,284,2.4533
S W Masakadza,283,2.4518
M D K Perera,282,2.4502
C J Anderson,268,2.4281
K T G Prasad,258,2.4116
Mahmudullah,258,2.4116
A Mishra,256,2.4082
Robiul Islam,252,2.4014
S T Gabriel,244,2.3874
J M Bird,243,2.3856
C H Gayle,235,2.3711
V Permaul,235,2.3711
K S Williamson,229,2.3598
I S Sodhi,223,2.3483
Wahab Riaz,218,2.3385
Mohammad Talha,212,2.3263
M D Craig,207,2.3160
Rahat Ali,207,2.3160
B Kumar,203,2.3075
M N Samuels,187,2.2718
G J Maxwell,176,2.2455
S K Raina,175,2.2430
H Masakadza,167,2.2227
Rubel Hossain,148,2.1703
Nasir Hossain,145,2.1614
A D Mathews,143,2.1553
M J Clarke,141,2.1492
S P D Smith,138,2.1399
N Pradeep,124,2.0934
J C Tredwell,120,2.0792
Zulfiqar Babar,119,2.0755
E Chigumbura,115,2.0607
Shoaib Malik,103,2.0128
Shafiul Islam,91,1.9590
Younis Khan,83,1.9191
C J Jordan,74,1.8692
J O Holder,73,1.8633
J D S Neesham,70,1.8451
Ehsan Adil,66,1.8195
Moeen Ali,54,1.7324
S Chanderpaul,53,1.7243
V R Aaron,48,1.6812
D Elgar,47,1.6721
I J L Trott,45,1.6532
D P M Jayawardene,39,1.5911
M J Guptill,35,1.5441
D A Warner,35,1.5441
S R Patel,35,1.5441
Al-Amin Hossain,34,1.5315
J E Root,28,1.4472
S S Cottrell,16,1.2041
K D K Vithanage,14,1.1461
K C Brathwaite,14,1.1461
L R Taylor,10,1.0000
