Name,Rating
S Badree,782
S P Narine,760
S M S Senanayake,712
R Ashwin,697
Imran Tahir,662
Shakib Al Hasan,661
S L Malinga,661
M A Starc,661
K M D Kulasekara,655
Shahid Afridi,648
N L McCullum,640
Saeed Ajmal,639
P Utseya,635
G H Dockrell,629
Mudassar Bukhari,616
Mohammad Hafeez,602
A D Mathews,589
M A A Jamil,575
M J McClenaghan,575
S T Finn,567
D W Steyn,565
P J Cummins,559
Samiullah Shenwari,556
R A Jadeja,556
Mohammad Nabi,551
Sohail Tanvir,548
A R Cusack,541
W D Parnell,532
G J Maxwell,526
S R Watson,516
K J O'Brien,501
P M Seelaar,500
T G Southee,499
P W Borren,494
M N Samuels,492
Mahmudullah,488
T van der Gugten,480
Shapoor Zadran,479
Umar Gul,474
Yuvraj Singh,472
Mashrafe Mortaza,468
D J G Sammy,467
Harbhajan Singh,461
B Kumar,460
D J J Bravo,460
J P Faulkner,456
Hamid Hassan,443
D Wiese,441
N M Coulter Nile,437
C B Mpofu,435
W B Rankin,428
N L T Perera,428
M Morkel,423
M R Swart,409
H M R Herath,405
Karim Sadiq,394
M C Sorensen,380
Dawlat Zadran,377
P R Stirling,377
K J Abbott,376
Al-Amin Hossain,368
C J Anderson,368
T A Boult,360
A D Russell,359
K A Pollard,357
S W Tait,353
J P Duminy,347
S C Williams,346
Shoaib Malik,343
B V Vitori,342
R Rampaul,339
J D S Neesham,327
A F Milne,320
Sohag Gazi,305
C H Gayle,303
A G Cremer,302
T L Chatara,301
Hamza Hotak,300
Mirwais Ashraf,296
S K Raina,296
J A Morkel,291
C J Jordan,286
S J Benn,286
T M Dilshan,285
E Chigumbura,283
R D Berrington,281
T J Murtagh,276
Basant Regmi,275
S S Cottrell,267
Mohammad Irfan,266
S Sharif,260
T Panyangara,259
A M Phangiso,258
Mohammad Amir,255
J E Taylor,253
S P D Smith,253
C J Boyce,249
A Nehra,249
D A J Bracewell,247
P L Mommsen,245
