Name,Matches,Innings,Not_Outs,Runs,High_Score,Average,No_Of_100,No_Of_50,Strike_Rate,Catches_Taken,Stumpings
Aaron James Finch,59,57,1,2169,148,38.73,7,11,86.96,30,NA
Aavishkar Madhav Salvi,4,3,1,4,4,2,0,0,28.57,2,NA
Abhimanyu Mithun,5,3,0,51,24,17,0,0,92.72,1,NA
Abhishek Mohan Nayar,3,1,1,0,0,NA,0,0,0,0,NA
Abraham Benjamin de Villiers,197,189,34,8524,162,54.99,24,47,99.96,161,5
Adam Charles Voges,31,28,9,870,112,45.78,1,4,87.17,7,NA
Adam Craig Gilchrist,286,278,11,9595,172,35.93,16,55,96.89,416,54
Adam Fraser Milne,33,12,6,130,36,21.66,0,0,98.48,16,NA
Adam John Hollioake,35,30,6,606,83,25.25,0,3,75.09,13,NA
Adam Zampa,4,2,0,2,2,1,0,0,16.66,1,NA
Adrian Boris Barath,14,14,1,394,113,30.3,1,1,64.37,3,NA
Adrian Dimitri Mascarenhas,20,13,2,245,52,22.27,0,1,95.33,4,NA
Ajinkya Madhukar Rahane,67,65,2,2093,111,33.22,2,15,79.61,37,NA
Ajit Bhalchandra Agarkar,191,113,26,1269,95,14.58,0,3,80.62,53,NA
Akshar Rajeshbhai Patel,22,15,6,91,17,10.11,0,0,95.78,12,NA
Ambati Thirupathi Rayudu,31,28,7,952,124,45.33,2,5,78.09,10,NA
Amit Mishra,31,9,3,28,9,4.66,0,0,45.16,4,NA
Andre Dwayne Russell,51,43,9,985,92,28.97,0,4,130.81,11,NA
Andre Nel,79,22,12,127,30,12.7,0,0,76.5,21,NA
Andrew Flintoff,138,119,16,3293,123,31.97,3,18,89.16,46,NA
Andrew Symonds,198,161,33,5088,156,39.75,6,30,92.45,82,NA
Angelo Davis Mathews,169,140,38,4067,139,39.87,1,28,85.1,39,NA
Anil Kumble,269,134,47,903,26,10.37,0,0,60.97,85,NA
Ashish Nehra,117,45,21,140,24,5.83,0,0,57.37,17,NA
Ashley Allan Noffke,1,0,NA,NA,NA,NA,NA,NA,NA,0,NA
Ashok Bhimchandra Dinda,13,5,0,21,16,4.2,0,0,58.33,1,NA
Azhar Mahmood Sagar,143,110,26,1521,67,18.1,0,3,76.54,37,NA
Balapuwaduge Ajantha Winslo Mendis,87,42,19,188,21,8.17,0,0,71.48,15,NA
Balapuwaduge Manukulasuriya Amith Jeewan Mendis,54,40,10,604,72,20.13,0,1,85.07,13,NA
Barinder Sran,3,0,NA,NA,NA,NA,NA,NA,NA,1,NA
Ben Laughlin,5,1,1,1,1,NA,0,0,11.11,2,NA
Benjamin Colin James Cutting,4,2,0,53,27,26.5,0,0,79.1,1,NA
Benjamin William Hilfenhaus,25,11,8,29,16,9.66,0,0,42.02,10,NA
Bhuvneshwar Kumar Singh,57,30,8,207,31,9.4,0,0,74.19,17,NA
Bradley James Haddin,126,115,16,3122,110,31.53,2,16,84.24,170,11
Bradley John Hodge,25,21,2,575,123,30.26,1,3,87.51,16,NA
Brendon Barrie McCullum,260,228,28,6083,166,30.41,5,32,96.41,262,15
Brett Geeves,2,2,2,10,10,NA,0,0,90.9,1,NA
Brett Lee,221,110,44,1176,59,17.81,0,3,83.58,54,NA
Callum James Ferguson,30,25,9,663,71,41.43,0,5,85.32,7,NA
Cameron Leon White,88,74,15,2037,105,34.52,2,11,80.41,37,NA
Carlos Ricardo Brathwaite,9,9,0,100,21,11.11,0,0,68.02,3,NA
Chamara Kantha Kapugedera,97,79,7,1551,95,21.54,0,8,72.54,30,NA
Charl Kenneth Langeveldt,72,21,10,73,12,6.63,0,0,58.87,11,NA
Cheteshwar Arvindbhai Pujara,5,5,0,51,27,10.2,0,0,39.23,0,NA
Christopher Henry Gayle,266,261,17,9166,215,37.56,22,46,85.05,113,NA
Christopher Henry Morris,12,7,1,105,62,17.5,0,1,83.33,1,NA
Christopher James Jordan,27,20,6,154,38,11,0,0,90.58,18,NA
Clinton James McKay,59,31,10,190,30,9.04,0,0,56.37,7,NA
Colin Alexander Ingram,31,29,3,843,124,32.42,3,3,82.32,12,NA
Colin Munro,12,9,0,244,85,27.11,0,2,94.2,1,NA
Congenige Randhi Dilhara Fernando,146,61,35,239,20,9.19,0,0,60.96,27,NA
Corey James Anderson,40,35,4,1016,131,32.77,1,4,114.8,8,NA
Dale Willem Steyn,110,44,10,288,35,8.47,0,0,65.3,26,NA
Damien Richard Martyn,208,182,51,5346,144,40.8,5,37,77.73,69,NA
Daniel Luca Vettori,291,183,55,2201,83,17.19,0,4,82.71,86,NA
Daniel Trevor Christian,19,18,5,273,39,21,0,0,88.92,10,NA
Darren Julius Garvey Sammy,126,105,30,1871,89,24.94,0,9,100.05,67,NA
Darren Scott Lehmann,117,101,22,3078,119,38.96,4,17,81.29,26,NA
David Andrew Miller,82,73,21,1819,138,34.98,2,8,100,37,NA
David Andrew Warner,73,71,3,2593,178,38.13,5,15,92.21,28,NA
David John Hussey,69,61,6,1796,111,32.65,1,14,90.7,29,NA
David Wiese,6,6,1,102,41,20.4,0,0,88.69,0,NA
Demuni Nuwan Tharanga Zoysa,95,47,21,343,47,13.19,0,0,95.81,13,NA
Denagamage Proboth Mahela de Silva Jayawardene,443,413,38,12381,144,33.01,18,75,78.67,212,NA
Dhawal Sunil Kulkarni,8,1,1,2,2,NA,0,0,100,2,NA
Dirk Peter Nannes,1,1,0,1,1,1,0,0,50,0,NA
Douglas Andrew John Bracewell,13,7,1,59,30,9.83,0,0,67.81,2,NA
Douglas Erwin Bollinger,39,8,2,50,30,8.33,0,0,92.59,12,NA
Dwayne John Bravo,164,141,24,2968,112,25.36,2,10,82.33,73,NA
Dwayne Romel Smith,105,89,5,1560,97,18.57,0,8,92.69,31,NA
Eoin Joseph Gerard Morgan,160,151,22,4756,124,36.86,8,29,87.1,65,NA
Farhaan Behardien,43,36,9,829,70,30.7,0,5,95.06,17,NA
Fidel Henderson Edwards,50,22,14,73,13,9.12,0,0,45.62,4,NA
Francois du Plessis,87,84,10,2944,133,39.78,5,20,85.65,46,NA
Gautam Gambhir,147,143,11,5238,150,39.68,11,34,85.25,36,NA
George Bradley Hogg,123,65,26,790,71,20.25,0,2,78.6,36,NA
George John Bailey,71,68,8,2498,156,41.63,3,18,85.66,34,NA
Glenn Donald McGrath,249,67,38,115,11,3.96,0,0,48.93,36,NA
Glenn James Maxwell,64,59,7,1713,102,32.94,1,13,124.85,36,NA
Graeme Craig Smith,196,193,10,6989,141,38.19,10,47,80.86,105,NA
Gurinder Singh Sandhu,2,0,NA,NA,NA,NA,NA,NA,NA,0,NA
Gurkeerat Singh Mann,3,3,1,13,8,6.5,0,0,100,1,NA
Harbhajan Singh,234,126,35,1213,49,13.32,0,0,80.75,71,NA
Hashim Mahomed Amla,133,130,9,6259,159,51.72,22,29,88.93,67,NA
Herschelle Herman Gibbs,248,240,16,8094,175,36.13,21,37,83.24,108,NA
Hewa Kaluhalmullage Suraj Randiv Kaluhalamulla,30,17,1,254,56,15.87,0,1,71.54,7,NA
Irfan Khan Pathan,120,87,21,1544,83,23.39,0,5,79.54,21,NA
Ishant Sharma,80,28,13,72,13,4.8,0,0,35.46,19,NA
Jacob David Philip Oram,160,116,15,2434,101,24.09,1,13,86.65,51,NA
Jacques Henry Kallis,323,309,53,11550,139,45.11,17,86,73.14,131,NA
James Douglas Sheehan Neesham,19,16,5,238,42,21.63,0,0,95.58,7,NA
James Edward Charles Franklin,110,80,27,1271,98,23.98,0,4,76.98,26,NA
James Peter Faulkner,50,38,16,873,116,39.68,1,4,111.77,14,NA
James Redfern Hopes,84,61,8,1326,63,25.01,0,3,93.71,25,NA
Jason Omar Holder,37,25,8,383,57,22.52,0,2,96.47,11,NA
Jasprit Jasbirsingh Bumrah,1,0,NA,NA,NA,NA,NA,NA,NA,0,NA
Jaydev Dipakbhai Unadkat,7,0,NA,NA,NA,NA,NA,NA,NA,0,NA
Jean-Paul Duminy,152,137,31,4064,150,38.33,4,21,83.09,64,NA
Jerome Everton Taylor,83,39,9,260,43,8.66,0,0,84.69,20,NA
Jesse Daniel Ryder,48,42,1,1362,107,33.21,3,6,95.31,15,NA
Joginder Sharma,4,3,2,35,29,35,0,0,116.66,3,NA
Johan Botha,76,48,17,578,46,18.64,0,0,83.4,34,NA
Johannes Albertus Morkel,56,41,10,760,97,24.51,0,2,101.33,15,NA
Johannes Jacobus van der Wath,10,8,2,89,37,14.83,0,0,127.14,3,NA
John Wayne Hastings,20,16,9,180,48,25.71,0,0,98.9,5,NA
Joseph Charles Buttler,70,61,10,1798,129,35.25,4,7,118.75,87,9
Juan Theron,4,1,0,5,5,5,0,0,100,4,NA
Justin Lee Langer,8,7,2,160,36,32,0,0,88.88,2,1
Justin Miles Kemp,79,60,18,1371,100,32.64,1,9,82.78,31,NA
Kamran Akmal,154,135,14,3168,124,26.18,5,10,83.83,156,31
Kane Stuart Williamson,93,87,9,3666,145,47,7,25,84.02,38,NA
Kane William Richardson,12,4,2,30,19,15,0,0,157.89,1,NA
Karn Vinod Sharma,2,0,NA,NA,NA,NA,NA,NA,NA,3,NA
Kedar Mahadeo Jadhav,4,4,1,146,105,48.66,1,0,106.56,2,NA
Kemar Andre Jamal Roach,67,42,26,216,34,13.5,0,0,52.04,16,NA
Kevin Peter Pietersen,134,123,16,4422,130,41.32,9,25,86.7,39,NA
Khan Abdur Razzak,153,97,39,779,53,13.43,0,1,76.37,32,NA
Kieron Adrian Pollard,93,87,5,2109,119,25.71,3,8,93.81,50,NA
Krishankumar Dinesh Karthik,71,60,13,1313,79,27.93,0,7,73.22,49,7
Kulasekara Mudiyanselage Dinesh Nuwan Kulasekara,173,116,35,1273,73,15.71,0,4,81.08,43,NA
Kumar Chokshanada Sangakkara,397,373,40,13975,169,41.96,25,90,78.88,397,95
Kyle John Abbott,25,11,4,75,23,10.71,0,0,61.47,7,NA
Lakshmipathy Balaji,30,16,6,120,21,12,0,0,78.94,11,NA
Laxmi Ratan Shukla,3,2,0,18,13,9,0,0,94.73,1,NA
