Name,Balls,Maidens,Runs,Wickets,Best_Bowling,Average,5_Wicket_Hauls,10_Wicket_Hauls,Strike_Rate,Economy
Aaron James Finch,73,0,59,2,1-2,29.5,0,0,36.5,4.84
Aavishkar Madhav Salvi,172,3,120,4,2-15,30,0,0,43,4.18
Abhimanyu Mithun,180,1,203,3,2-32,67.66,0,0,60,6.76
Abhishek Mohan Nayar,18,0,17,0,0-17,NA,NA,NA,NA,5.66
Abraham Benjamin de Villiers,180,0,180,7,2-15,25.71,0,0,25.71,6
Adam Charles Voges,301,1,276,6,1-3,46,0,0,50.16,5.5
Adam Fraser Milne,1463,5,1259,31,3-49,40.61,0,0,47.19,5.16
Adam John Hollioake,1208,3,1019,32,4-23,31.84,2,0,37.75,5.06
Adam Zampa,213,0,164,7,3-16,23.42,0,0,30.42,4.61
Adrian Dimitri Mascarenhas,822,6,634,13,3-23,48.76,0,0,63.23,4.62
Ajit Bhalchandra Agarkar,9484,100,8021,288,6-42,27.85,10,2,32.93,5.07
Akshar Rajeshbhai Patel,1022,7,807,28,3-39,28.82,0,0,36.5,4.73
Ambati Thirupathi Rayudu,108,1,111,3,1-5,37,0,0,36,6.16
Amit Mishra,1648,17,1296,49,6-48,26.44,2,1,33.63,4.71
Andre Dwayne Russell,2122,13,2066,64,4-35,32.28,5,0,33.15,5.84
Andre Nel,3801,58,2935,106,5-45,27.68,3,1,35.85,4.63
Andrew Flintoff,5496,66,3968,168,5-19,23.61,6,2,32.71,4.33
Andrew Symonds,5935,30,4955,133,5-18,37.25,2,1,44.62,5
Angelo Davis Mathews,4633,48,3581,102,6-20,35.1,1,1,45.42,4.63
Anil Kumble,14376,109,10300,334,6-12,30.83,8,2,43.04,4.29
Ashish Nehra,5637,53,4899,155,6-23,31.6,5,2,36.36,5.21
Ashley Allan Noffke,54,0,46,1,1-46,46,0,0,54,5.11
Ashok Bhimchandra Dinda,594,2,612,12,2-44,51,0,0,49.5,6.18
Azhar Mahmood Sagar,6242,58,4813,123,6-18,39.13,2,3,50.74,4.62
Balapuwaduge Ajantha Winslo Mendis,4154,34,3324,152,6-13,21.86,7,3,27.32,4.8
Balapuwaduge Manukulasuriya Amith Jeewan Mendis,1337,2,1134,28,3-15,40.5,0,0,47.75,5.08
Barinder Sran,158,1,170,3,3-56,56.66,0,0,52.66,6.45
Ben Laughlin,224,1,219,4,1-28,54.75,0,0,56,5.86
Benjamin Colin James Cutting,216,1,158,5,3-45,31.6,0,0,43.2,4.38
Benjamin William Hilfenhaus,1216,16,1075,29,5-33,37.06,0,1,41.93,5.3
Bhuvneshwar Kumar Singh,2819,44,2298,60,4-8,38.3,2,0,46.98,4.89
Bradley John Hodge,66,0,51,1,1-17,51,0,0,66,4.63
Brett Geeves,90,0,78,3,2-11,26,0,0,30,5.2
Brett Lee,11185,141,8877,380,5-22,23.36,14,9,29.43,4.76
Cameron Leon White,331,2,351,12,3-5,29.25,0,0,27.58,6.36
Carlos Ricardo Brathwaite,306,1,275,5,2-35,55,0,0,61.2,5.39
Chamara Kantha Kapugedera,264,0,225,2,1-24,112.5,0,0,132,5.11
Charl Kenneth Langeveldt,3489,29,2962,100,5-39,29.62,1,2,34.89,5.09
Christopher Henry Gayle,7175,38,5681,163,5-46,34.85,3,1,44.01,4.75
Christopher Henry Morris,525,1,534,13,3-74,41.07,0,0,40.38,6.1
Christopher James Jordan,1332,4,1338,40,5-29,33.45,0,1,33.3,6.02
Clinton James McKay,2965,38,2364,97,5-28,24.37,4,2,30.56,4.78
Colin Alexander Ingram,6,0,17,0,0-17,NA,NA,NA,NA,17
Colin Munro,54,0,43,0,0-3,NA,NA,NA,NA,4.77
Congenige Randhi Dilhara Fernando,6447,53,5612,183,6-27,30.66,2,1,35.22,5.22
Corey James Anderson,1335,10,1349,55,5-63,24.52,2,1,24.27,6.06
Dale Willem Steyn,5542,66,4497,173,6-39,25.99,4,3,32.03,4.86
Damien Richard Martyn,794,2,704,12,2-21,58.66,0,0,66.16,5.31
Daniel Luca Vettori,13820,98,9495,297,5-7,31.96,7,2,46.53,4.12
Daniel Trevor Christian,727,4,595,20,5-31,29.75,0,1,36.35,4.91
Darren Julius Garvey Sammy,4956,41,3851,81,4-26,47.54,1,0,61.18,4.66
Darren Scott Lehmann,1793,3,1445,52,4-7,27.78,1,0,34.48,4.83
David Andrew Warner,6,0,8,0,0-8,NA,NA,NA,NA,8
David John Hussey,802,1,698,18,4-21,38.77,2,0,44.55,5.22
David Wiese,294,0,316,9,3-50,35.11,0,0,32.66,6.44
Demuni Nuwan Tharanga Zoysa,4259,61,3213,108,5-26,29.75,2,1,39.43,4.52
Denagamage Proboth Mahela de Silva Jayawardene,579,1,544,8,2-56,68,0,0,72.37,5.63
Dhawal Sunil Kulkarni,404,2,359,13,4-34,27.61,1,0,31.07,5.33
Dirk Peter Nannes,42,1,20,1,1-20,20,0,0,42,2.85
Douglas Andrew John Bracewell,668,13,549,17,3-31,32.29,0,0,39.29,4.93
