Name,Matches,Innings,Not_Outs,Runs,High_Score,Average,No_Of_100,No_Of_50,Strike_Rate,Catches_Taken,Stumpings
Aakash Shyamlal Chopra,10,19,0,437,60,23,0,2,34.6,15,NA
Abhimanyu Mithun,4,5,0,120,46,24,0,0,48.19,0,NA
Abhinav Mukund,5,10,0,211,62,21.1,0,1,40.73,5,NA
Abraham Benjamin de Villiers,106,176,16,8074,278,50.46,21,39,53.75,197,5
Adam Charles Voges,15,21,7,1337,269,95.5,5,4,59.36,11,NA
Adam Craig Gilchrist,96,137,20,5570,204,47.6,17,26,81.98,379,37
Adam John Hollioake,4,6,0,65,45,10.83,0,0,41.13,4,NA
Adrian Boris Barath,15,28,0,657,104,23.46,1,4,47.33,13,NA
Ajinkya Madhukar Rahane,22,40,4,1619,147,44.97,6,7,55.5,27,NA
Ajit Bhalchandra Agarkar,26,39,5,571,109,16.79,1,0,52.82,6,NA
Amit Mishra,18,29,2,574,84,21.25,0,3,57.92,7,NA
Andre Dwayne Russell,1,1,0,2,2,2,0,0,22.22,1,NA
Andre Nel,36,42,8,337,34,9.91,0,0,46.1,16,NA
Andrew Barry McDonald,4,6,1,107,68,21.4,0,1,49.3,2,NA
Andrew Flintoff,78,128,9,3795,167,31.89,5,26,61.86,52,NA
Andrew Symonds,26,41,5,1462,162,40.61,2,10,64.77,22,NA
Angelo Davis Mathews,58,101,17,4137,160,49.25,7,24,50.04,39,NA
Anil Kumble,132,173,32,2506,110,17.77,1,5,38.82,60,NA
Ashish Nehra,17,25,11,77,19,5.5,0,0,30.07,5,NA
Azhar Mahmood Sagar,21,34,4,900,136,30,3,1,50.81,14,NA
Balapuwaduge Ajantha Winslo Mendis,19,19,6,213,78,16.38,0,1,46.81,2,NA
Benjamin William Hilfenhaus,27,38,12,355,56,13.65,0,1,54.19,7,NA
Bhuvneshwar Kumar Singh,12,18,3,393,63,26.2,0,3,46.61,4,NA
Bradley James Haddin,66,112,13,3265,169,32.97,4,18,58.44,262,8
Bradley John Hodge,6,11,2,503,203,55.88,1,2,52.12,9,NA
Brendon Barrie McCullum,101,176,9,6453,302,38.64,12,31,64.6,198,11
Brett Lee,76,90,18,1451,64,20.15,0,5,52.93,23,NA
Cameron Leon White,4,7,2,146,46,29.2,0,0,44.24,1,NA
Carlos Ricardo Brathwaite,2,3,0,130,69,43.33,0,2,64.67,0,NA
Chamara Kantha Kapugedera,8,15,3,418,96,34.83,0,4,53.18,6,NA
Charl Kenneth Langeveldt,6,4,2,16,10,8,0,0,30.76,2,NA
Cheteshwar Arvindbhai Pujara,32,56,5,2420,206,47.45,7,7,49.15,24,NA
Christopher Henry Gayle,103,182,11,7214,333,42.18,15,37,60.26,96,NA
Christopher Henry Morris,2,3,0,98,69,32.66,0,1,55.36,2,NA
Christopher James Jordan,8,11,1,180,35,18,0,0,56.25,14,NA
Clinton James McKay,1,1,0,10,10,10,0,0,66.66,1,NA
Colin Munro,1,2,0,15,15,7.5,0,0,57.69,0,NA
Congenige Randhi Dilhara Fernando,40,47,17,249,39,8.3,0,0,35.11,10,NA
Corey James Anderson,13,22,1,683,116,32.52,1,4,56.86,7,NA
Dale Willem Steyn,82,102,21,1143,76,14.11,0,2,43.5,22,NA
Damien Richard Martyn,67,109,14,4406,165,46.37,13,23,51.42,36,NA
Daniel Luca Vettori,112,172,22,4523,140,30.15,6,23,58.21,58,NA
Darren Julius Garvey Sammy,38,63,2,1323,106,21.68,1,5,67.88,65,NA
Darren Scott Lehmann,27,42,2,1798,177,44.95,5,10,61.78,11,NA
David Andrew Warner,51,94,4,4506,253,50.06,16,20,76.92,39,NA
Demuni Nuwan Tharanga Zoysa,30,40,6,288,28,8.47,0,0,41.37,4,NA
Denagamage Proboth Mahela de Silva Jayawardene,149,252,15,11814,374,49.84,34,50,51.46,205,NA
Douglas Andrew John Bracewell,25,43,4,520,47,13.33,0,0,45.09,8,NA
Douglas Erwin Bollinger,12,14,7,54,21,7.71,0,0,34.17,2,NA
Dwayne John Bravo,40,71,1,2200,113,31.42,3,13,48.57,41,NA
Dwayne Romel Smith,10,14,1,320,105,24.61,1,0,70.02,9,NA
Eoin Joseph Gerard Morgan,16,24,1,700,130,30.43,2,3,54.77,11,NA
Fidel Henderson Edwards,55,88,28,394,30,6.56,0,0,28.2,10,NA
Francois du Plessis,29,45,4,1682,137,41.02,4,8,39.68,15,NA
Gautam Gambhir,56,100,5,4046,206,42.58,9,21,51.34,38,NA
George Bradley Hogg,7,10,3,186,79,26.57,0,1,49.6,1,NA
George John Bailey,5,8,1,183,53,26.14,0,1,58.84,10,NA
Glenn Donald McGrath,124,138,51,641,61,7.36,0,1,40.82,38,NA
Glenn James Maxwell,3,6,0,80,37,13.33,0,0,70.17,2,NA
Graeme Craig Smith,116,203,13,9253,277,48.7,27,38,59.71,166,NA
Harbhajan Singh,103,145,23,2224,115,18.22,2,9,64.85,42,NA
Hashim Mahomed Amla,92,156,13,7358,311,51.45,25,29,50.06,78,NA
Herschelle Herman Gibbs,90,154,7,6167,228,41.95,14,26,50.25,94,NA
Hewa Kaluhalmullage Suraj Randiv Kaluhalamulla,12,17,1,147,39,9.18,0,0,30.62,1,NA
Irfan Khan Pathan,29,40,5,1105,102,31.57,1,6,53.22,8,NA
Ishant Sharma,68,100,38,550,31,8.87,0,0,28.67,14,NA
Jacob David Philip Oram,33,59,10,1780,133,36.32,5,6,50.38,15,NA
Jacques Henry Kallis,165,278,39,13206,224,55.25,45,58,45.97,196,NA
James Douglas Sheehan Neesham,9,17,1,612,137,38.25,2,3,68.22,7,NA
