Name,Balls,Maidens,Runs,Wickets,Best_Bowling,Average,5_Wicket_Hauls,10_Wicket_Hauls,Strike_Rate,Economy
Abhimanyu Mithun,720,21,456,9,4-105,50.66,0,0,80,3.8
Abhinav Mukund,12,0,14,0,0-14,NA,NA,NA,NA,7
Abraham Benjamin de Villiers,204,6,104,2,2-49,52,0,0,102,3.05
Adam Charles Voges,18,0,18,0,0-3,NA,NA,NA,NA,6
Adam John Hollioake,144,2,67,2,2-31,33.5,0,0,72,2.79
Adrian Boris Barath,6,0,3,0,0-3,NA,NA,NA,NA,3
Ajit Bhalchandra Agarkar,4857,168,2745,58,6-41,47.32,1,0,83.74,3.39
Amit Mishra,4229,95,2208,65,5-71,33.96,1,0,65.06,3.13
Andre Dwayne Russell,138,2,104,1,1-73,104,0,0,138,4.52
Andre Nel,7630,280,3919,123,6-32,31.86,3,1,62.03,3.08
Andrew Barry McDonald,732,40,300,9,3-25,33.33,0,0,81.33,2.45
Andrew Flintoff,14747,502,7303,219,5-58,33.34,3,0,67.33,2.97
Andrew Symonds,2094,81,896,24,3-50,37.33,0,0,87.25,2.56
Angelo Davis Mathews,3312,129,1534,30,4-44,51.13,0,0,110.4,2.77
Anil Kumble,40850,1576,18355,619,10-74,29.65,35,8,65.99,2.69
Ashish Nehra,3447,122,1866,44,4-72,42.4,0,0,78.34,3.24
Azhar Mahmood Sagar,3015,111,1402,39,4-50,35.94,0,0,77.3,2.79
Balapuwaduge Ajantha Winslo Mendis,4730,118,2434,70,6-99,34.77,4,1,67.57,3.08
Benjamin William Hilfenhaus,6078,258,2822,99,5-75,28.5,2,0,61.39,2.78
Bhuvneshwar Kumar Singh,1913,68,1015,29,6-82,35,2,0,65.96,3.18
Bradley John Hodge,12,0,8,0,0-8,NA,NA,NA,NA,4
Brendon Barrie McCullum,175,5,88,1,1-1,88,0,0,175,3.01
Brett Lee,16531,547,9554,310,5-30,30.81,10,0,53.32,3.46
Cameron Leon White,558,8,342,5,2-71,68.4,0,0,111.6,3.67
Carlos Ricardo Brathwaite,258,4,162,1,1-30,162,0,0,258,3.76
Chamara Kantha Kapugedera,12,0,9,0,0-9,NA,NA,NA,NA,4.5
Charl Kenneth Langeveldt,999,27,593,16,5-46,37.06,1,0,62.43,3.56
Cheteshwar Arvindbhai Pujara,6,0,2,0,0-2,NA,NA,NA,NA,2
Christopher Henry Gayle,7109,230,3120,73,5-34,42.73,2,0,97.38,2.63
Christopher Henry Morris,366,10,253,4,1-8,63.25,0,0,91.5,4.14
Christopher James Jordan,1530,74,752,21,4-18,35.8,0,0,72.85,2.94
Clinton James McKay,168,5,101,1,1-56,101,0,0,168,3.6
Colin Munro,108,4,40,2,2-40,20,0,0,54,2.22
Congenige Randhi Dilhara Fernando,6181,143,3784,100,5-42,37.84,3,0,61.81,3.67
Corey James Anderson,1302,34,659,16,3-47,41.18,0,0,81.37,3.03
Dale Willem Steyn,16956,608,9150,406,7-51,22.53,25,5,41.76,3.23
Damien Richard Martyn,348,16,168,2,1-0,84,0,0,174,2.89
Daniel Luca Vettori,28652,1194,12330,361,7-87,34.15,20,3,79.36,2.58
Darren Julius Garvey Sammy,6215,216,3007,84,7-66,35.79,4,0,73.98,2.9
Darren Scott Lehmann,974,36,412,15,3-42,27.46,0,0,64.93,2.53
David Andrew Warner,330,1,254,4,2-45,63.5,0,0,82.5,4.61
Demuni Nuwan Tharanga Zoysa,4422,160,2157,64,5-20,33.7,1,0,69.09,2.92
Denagamage Proboth Mahela de Silva Jayawardene,589,20,310,6,2-32,51.66,0,0,98.16,3.15
Douglas Andrew John Bracewell,4664,130,2626,69,6-40,38.05,2,0,67.59,3.37
Douglas Erwin Bollinger,2401,78,1296,50,5-28,25.92,2,0,48.02,3.23
Dwayne John Bravo,6466,213,3426,86,6-55,39.83,2,0,75.18,3.17
Dwayne Romel Smith,651,20,344,7,3-71,49.14,0,0,93,3.17
