Name,AdaptTest,AdaptODI,AdaptT20
A J Finch,0.833333333333333,0.5,0.333333333333333
A M Salvi,0.166666666666667,0,0.166666666666667
A Mithun,0.166666666666667,0.166666666666667,0.333333333333333
A Mukund,0,0.166666666666667,0.166666666666667
A A Jhunjhunwala,0,0,0
A M Nayar,0,0,0
A S Raut,0,0,0
A A Kazi,0,0,0
A N Ahmed,0,0,0
A C Voges,0.333333333333333,0.5,0.5
A C Gilchrist,0.833333333333333,0.666666666666667,0.833333333333333
A F Milne,0.166666666666667,0,0.166666666666667
A J Hollioake,0.166666666666667,0.166666666666667,0.333333333333333
A Zampa,0.166666666666667,0,0.166666666666667
A P Dole,0,0,0
A D Mascarenhas,0.333333333333333,0.166666666666667,0.166666666666667
A C Blizzard,0,0,0
A M Rahane,0.666666666666667,0.666666666666667,0.666666666666667
A B Agarkar,0.5,0.333333333333333,0.5
A Chandila,0,0,0
A D Nath,0,0,0
A R Patel,0.333333333333333,0.166666666666667,0.166666666666667
A C Thomas,0,0,0
A G Murtaza,0,0,0
A Mishra,0.166666666666667,0.166666666666667,0.333333333333333
A Singh,0,0,0
A Uniyal,0,0,0
A A Reddy,0,0,0
A Rajan,0,0,0
A D Russell,0.5,0.5,0.333333333333333
A Nel,0.166666666666667,0.166666666666667,0.333333333333333
A B McDonald,0,0.166666666666667,0.166666666666667
A Flintoff,0.5,0.5,0.666666666666667
A Symonds,0.666666666666667,0.666666666666667,0.666666666666667
A D Mathews,0.833333333333333,0.833333333333333,0.666666666666667
A Kumble,0.166666666666667,0.333333333333333,0.5
A A Chavan,0,0,0
A N Sharma,0,0,0
A Rajpoot,0,0,0
A K Pathan,0,0,0
A Nehra,0.333333333333333,0.333333333333333,0.333333333333333
A A Noffke,0.166666666666667,0.166666666666667,0
A B Dinda,0.333333333333333,0.166666666666667,0.166666666666667
A L Menaria,0,0,0
A M Sagar,0.333333333333333,0.166666666666667,0.5
B Akhil,0,0,0
B A W Mendis,0.333333333333333,0.333333333333333,0.333333333333333
B M A J Mendis,0.5,0.333333333333333,0.166666666666667
B B Sran,0,0,0
B J Rohrer,0.166666666666667,0.166666666666667,0
B Laughlin,0,0,0
B R Dunk,0.166666666666667,0.166666666666667,0
B C J Cutting,0.333333333333333,0.166666666666667,0.166666666666667
B W Hilfenhaus,0.333333333333333,0.333333333333333,0.333333333333333
B E Hendricks,0.166666666666667,0.166666666666667,0
B Chipli,0,0,0
B A Bhatt,0,0,0
B Kumar,0.333333333333333,0.333333333333333,0.333333333333333
B B Samantray,0,0,0
B Sharma,0,0,0
B A Sumanth,0,0,0
B J Hodge,0.5,0.5,0.333333333333333
B Geeves,0,0,0
B Lee,0.333333333333333,0.5,0.5
C L White,0.833333333333333,0.666666666666667,0.5
C R Brathwaite,0.333333333333333,0.333333333333333,0.333333333333333
C K Kapugedera,0.666666666666667,0.5,0.5
C Ganapathy,0,0,0
C K Langeveldt,0.333333333333333,0.333333333333333,0.333333333333333
C Nanda,0,0,0
C A Lynn,0.166666666666667,0.166666666666667,0
C H Gayle,1,1,1
C H Morris,0.333333333333333,0.333333333333333,0.333333333333333
C J Jordan,0.333333333333333,0.333333333333333,0.333333333333333
C J McKay,0.333333333333333,0.333333333333333,0.333333333333333
C A Ingram,0.5,0.333333333333333,0.166666666666667
C Munro,0.5,0.5,0.333333333333333
C R D Fernando,0.333333333333333,0.333333333333333,0.333333333333333
C J Anderson,0.5,0.5,0.333333333333333
D W Steyn,0.333333333333333,0.5,0.5
D J Harris,0,0,0
D L Vettori,0.666666666666667,0.666666666666667,0.666666666666667
D T Christian,0.333333333333333,0.166666666666667,0.166666666666667
D J G Sammy,0.666666666666667,0.666666666666667,0.666666666666667
D S Lehmann,0.333333333333333,0.333333333333333,0.666666666666667
D A Miller,0.666666666666667,0.333333333333333,0.333333333333333
D A Warner,0.833333333333333,0.833333333333333,0.666666666666667
D J Jacobs,0,0,0
D J Hussey,0.666666666666667,0.333333333333333,0.333333333333333
D Wiese,0.333333333333333,0.166666666666667,0.166666666666667
D Hooda,0,0,0
D L Chahar,0,0,0
D N T Zoysa,0.166666666666667,0.166666666666667,0.333333333333333
D P M Jayawardene,1,1,1
D B R Teja,0,0,0
D S Kulkarni,0,0,0
D d Preez,0,0,0
D Salunkhe,0,0,0
D P Nannes,0.333333333333333,0.166666666666667,0.166666666666667
D Kalyankrishna,0,0,0
D J Thornely,0,0,0
D J Muthuswami,0,0,0
D A J Bracewell,0.333333333333333,0.333333333333333,0.333333333333333
D E Bollinger,0.166666666666667,0.166666666666667,0.333333333333333
D J J Bravo,0.833333333333333,0.833333333333333,0.666666666666667
D R Smith,0.666666666666667,0.5,0.5
F Y Fazal,0,0,0
F Behardien,0.5,0.333333333333333,0.166666666666667
F H Edwards,0.333333333333333,0.333333333333333,0.333333333333333
F du Plessis,0.833333333333333,0.833333333333333,0.666666666666667
G H Vihari,0,0,0
G S Toor,0,0,0
G B Hogg,0.333333333333333,0.333333333333333,0.333333333333333
G J Bailey,0.666666666666667,0.5,0.5
G D McGrath,0.333333333333333,0.333333333333333,0.333333333333333
