Name,Balls,Maidens,Runs,Wickets,Average,Strike_Rate,Economy
A C Thomas,4558,15,5739,263,21.82,17.33,7.55
A Mishra,3545,10,4159,196,21.21,18.08,7.03
A D Russell,3526,3,4768,182,26.19,19.37,8.11
A M Sagar,4753,10,6042,255,23.69,18.63,7.62
D W Steyn,3748,10,4188,181,23.13,20.7,6.7
D P Nannes,4624,9,5719,257,22.25,17.99,7.42
D J J Bravo,5781,2,7772,317,24.51,18.23,8.06
Harbhajan Singh,4302,12,4811,190,25.32,22.64,6.7
I K Pathan,3283,13,4123,161,25.6,20.39,7.53
J Botha,3672,4,3931,146,26.92,25.15,6.42
J A Morkel,4697,8,5999,230,26.08,20.42,7.66
K A Pollard,3755,1,5004,214,23.38,17.54,7.99
M Morkel,3406,12,4207,171,24.6,19.91,7.41
M Muralitharan,3705,5,3945,179,22.03,20.69,6.38
P P Chawla,3684,4,4532,182,24.9,20.24,7.38
P Kumar,3423,19,4235,130,32.57,26.33,7.42
R Ashwin,4108,7,4618,198,23.32,20.74,6.74
Shahid Afridi,4650,9,5177,236,21.93,19.7,6.68
S L Malinga,4835,13,5393,299,18.03,16.17,6.69
S A Hasan,4215,9,4737,230,20.59,18.32,6.74
S R Watson,3232,5,4142,160,25.88,20.2,7.68
S W Tait,3486,7,4584,208,22.03,16.75,7.88
S Tanvir,4449,7,5403,210,25.72,21.18,7.28
S P Narine,4112,15,3856,227,16.98,18.11,5.62
A D Mascarenhas,2647,8,3133,152,20.61,17.41,7.1
A D Mathews,1909,5,2316,76,30.47,25.11,7.27
A Nehra,2586,3,3283,146,22.48,17.71,7.61
A B Dinda,2305,4,2924,117,24.99,19.7,7.61
B A W Mendis,2617,6,3008,159,18.91,16.45,6.89
B Laughlin,1846,4,2393,109,21.95,16.93,7.77
B Kumar,2181,8,2544,107,23.77,20.38,6.99
B Lee,2706,9,3258,109,29.88,24.82,7.22
C K Langeveldt,2332,5,2962,138,21.46,16.89,7.62
C H Gayle,1860,0,2335,76,30.72,24.47,7.53
C H Morris,2482,8,3135,145,21.62,17.11,7.57
C J McKay,1897,5,2521,108,23.34,17.56,7.97
D L Vettori,3236,3,3424,131,26.13,24.7,6.34
D T Christian,2780,1,3816,129,29.58,21.55,8.23
D J G Sammy,2875,1,3712,136,27.29,21.13,7.74
D S Kulkarni,1888,8,2431,101,24.06,18.69,7.72
D E Bollinger,2596,6,3346,134,24.97,19.37,7.73
D R Smith,1914,3,2512,98,25.63,19.53,7.87
G B Hogg,2645,3,3003,125,24.02,21.16,6.81
G R Napier,2669,7,3489,143,24.39,18.66,7.84
I Sharma,2239,3,2932,84,34.9,26.65,7.85
J D P Oram,1839,5,2406,81,29.7,22.7,7.84
J H Kallis,2747,7,3482,114,30.54,24.09,7.6
J E C Franklin,1977,0,2746,91,30.17,21.72,8.33
J P Faulkner,2744,8,3605,154,23.4,17.81,7.88
J J v d Wath,2185,3,2763,108,25.58,20.23,7.58
J Theron,2586,2,3110,135,23.03,19.15,7.21
K K Cooper,2569,5,2959,151,19.59,17.01,6.91
K M D Kulasekara,2017,10,2415,104,23.22,19.39,7.18
K J Abbott,1858,6,2411,86,28.03,21.6,7.78
L Balaji,2161,5,2797,126,22.19,17.15,7.76
L J Wright,1799,1,2563,79,32.44,22.77,8.54
M B Mortaza,2151,2,2774,84,33.02,25.6,7.73
M G Johnson,1804,3,2360,94,25.1,19.19,7.84
M J McClenaghan,2121,5,2807,128,21.92,16.57,7.94
Mohammad Hafeez,2939,5,3056,135,22.63,21.77,6.23
Imran Tahir,2724,4,3123,150,20.82,18.16,6.87
M C Henriques,2042,0,2760,100,27.6,20.42,8.1
M M Patel,2039,9,2325,100,23.25,20.39,6.84
M Kartik,3069,1,3450,110,31.36,27.9,6.74
N L T Perera,2728,4,3777,149,25.34,18.3,8.3
N L McCullum,3162,3,3784,157,24.1,20.14,7.18
P P Ojha,2771,2,3297,148,22.27,18.72,7.13
R Bhatia,2364,1,2828,103,27.45,22.95,7.17
R Vinay Kumar,3028,2,3993,155,25.76,19.53,7.91
R S Bopara,3040,1,3701,157,23.57,19.36,7.3
R Rampaul,2170,9,2599,128,20.3,16.95,7.18
R A Jadeja,2747,3,3500,117,29.91,23.47,7.64
R J Peterson,2584,7,3064,121,25.32,21.35,7.11
R E van der Merwe,2748,3,3251,137,23.72,20.05,7.09
R P Singh,2903,4,3638,146,24.91,19.88,7.51
R McLaren,2991,4,3947,136,29.02,21.99,7.91
R N t Doeschate,1903,0,2579,96,26.86,19.82,8.13
S Badree,2865,18,2586,136,19.01,21.06,5.41
S B Styris,2963,2,3637,125,29.09,23.7,7.36
Shoaib Malik,2408,6,2806,110,25.5,21.89,6.99
S K Trivedi,2103,3,2692,103,26.13,20.41,7.68
T G Southee,2591,7,3532,135,26.16,19.19,8.17
Umar Gul,2932,10,3602,188,19.15,15.59,7.37
U T Yadav,1989,5,2711,92,29.46,21.61,8.17
W D Parnell,2780,7,3481,139,25.04,20,7.51
Y K Pathan,2121,1,2708,94,28.8,22.56,7.66
Zaheer Khan,2803,5,3489,129,27.04,21.72,7.46
