Name,Matches,Innings,Not_Outs,Runs,High_Score,Average,No_Of_100,No_Of_50,Strike_Rate,clusterNum
A J Finch,28,28,3,974,156,38.96,1,6,150.07,1
A D Mathews,65,51,17,976,81,28.7,0,4,120.49,1
C L White,47,44,14,984,85,32.8,0,5,132.97,1
D J J Bravo,61,54,11,1054,66,24.51,0,3,117.76,1
F du Plessis,35,35,6,1093,119,37.68,1,7,132.64,1
G Gambhir,37,36,2,932,75,27.41,0,7,119.02,1
G C Smith,33,33,2,982,89,31.67,0,5,127.53,1
H M Amla,37,37,5,1008,97,31.5,0,5,129.06,1
J C Buttler,48,42,10,839,67,26.21,0,4,140.3,1
K Akmal,54,49,6,897,73,20.86,0,5,121.05,1
K S Williamson,35,33,5,967,72,34.53,0,5,124.29,1
K P Pietersen,37,36,5,1176,79,37.93,0,7,141.51,1
L M P Simmons,36,35,4,843,82,27.19,0,5,117.08,1
L R Taylor,73,65,13,1256,63,24.15,0,5,120.07,1
M S Dhoni,68,60,31,1041,48,35.89,0,0,121.89,1
M N Samuels,46,44,6,1133,85,29.81,0,9,120.66,1
R G Sharma,60,53,11,1292,106,30.76,1,10,126.91,1
S A Hasan,54,54,8,1103,84,23.97,0,6,122.41,1
S K Raina,62,52,11,1203,101,29.34,1,3,132.92,1
Yuvraj Singh,55,48,9,1134,77,29.07,0,8,136.95,1
A B de Villiers,71,68,10,1368,79,23.58,0,8,131.91,5
B B McCullum,71,70,10,2140,123,35.66,2,13,136.21,5
C H Gayle,50,47,4,1519,117,35.32,2,13,145.49,5
D A Warner,61,61,3,1633,90,28.15,0,12,139.81,5
D P M Jayawardene,55,55,8,1493,100,31.76,1,9,133.18,5
E J G Morgan,62,60,11,1399,85,28.55,0,7,131.98,5
J P Duminy,70,64,21,1654,96,38.46,0,9,123.61,5
K C Sangakkara,56,53,9,1382,78,31.4,0,8,119.55,5
M J Guptill,61,59,7,1806,101,34.73,1,10,131.44,5
Mohammad Hafeez,77,75,4,1614,86,22.73,0,9,115.03,5
Shahid Afridi,98,90,12,1405,54,18.01,0,4,150.75,5
S R Watson,58,56,6,1462,124,29.24,1,10,145.32,5
Shoaib Malik,78,74,19,1468,75,26.69,0,5,112.83,5
T M Dilshan,78,77,12,1884,104,28.98,1,13,120.61,5
V Kohli,43,40,12,1642,90,58.64,0,16,135.25,5
