Name,Balls,Maidens,Runs,Wickets,Average,Strike_Rate,Economy,clusterNum
D J J Bravo,958,0,1348,49,27.51,19.55,8.44,4
K M D Kulasekara,1057,6,1280,56,22.85,18.87,7.26,4
M B Mortaza,1029,1,1363,38,35.86,27.07,7.94,4
Mohammad Hafeez,1004,1,1120,46,24.34,21.82,6.69,4
N L McCullum,1123,0,1278,58,22.03,19.36,6.82,4
R Ashwin,960,2,1107,50,22.14,19.2,6.91,4
Shahid Afridi,2144,4,2362,97,24.35,22.1,6.61,4
S L Malinga,1307,0,1582,78,20.28,16.75,7.26,4
S A Hasan,1175,1,1322,65,20.33,18.07,6.75,4
S R Watson,930,2,1187,48,24.72,19.37,7.65,4
S Tanvir,1053,3,1268,47,26.97,22.4,7.22,4
T G Southee,822,2,1182,46,25.69,17.86,8.62,4
Umar Gul,1203,2,1443,85,16.97,14.15,7.19,4
A D Russell,481,0,727,20,36.35,24.05,9.06,1
A D Mathews,871,4,966,34,28.41,25.61,6.65,1
A Nehra,504,1,646,31,20.83,16.25,7.69,1
B A W Mendis,885,5,952,66,14.42,13.4,6.45,1
B Lee,545,0,714,28,25.5,19.46,7.86,1
D W Steyn,901,2,1009,58,17.39,15.53,6.71,1
D L Vettori,787,1,748,38,19.68,20.71,5.7,1
D J G Sammy,880,0,1068,44,24.27,20,7.28,1
Harbhajan Singh,612,5,633,25,25.32,24.48,6.2,1
J D P Oram,546,0,793,19,41.73,28.73,8.71,1
J Botha,774,1,823,37,22.24,20.91,6.37,1
J A Morkel,647,2,864,26,33.23,24.88,8.01,1
K A Razzak,730,4,838,44,19.04,16.59,6.88,1
M G Johnson,656,2,797,38,20.97,17.26,7.28,1
M J McClenaghan,590,2,758,30,25.26,19.66,7.7,1
Imran Tahir,612,0,661,43,15.37,14.23,6.48,1
M Morkel,832,3,1022,45,22.71,18.48,7.37,1
N L T Perera,638,1,926,34,27.23,18.76,8.7,1
R Rampaul,497,1,705,29,24.31,17.13,8.51,1
R A Jadeja,760,3,892,29,30.75,26.2,7.04,1
S Badree,654,3,588,40,14.7,16.35,5.39,1
S P Narine,748,1,710,40,17.75,18.7,5.69,1
W D Parnell,665,3,891,38,23.44,17.5,8.03,1
